"Data anno corrente","Giorno settimana","Vendite R6","Scontrini R6"
"2018-09-10","Lunedi",6303.84,933.0
"2018-09-11","Martedi",5266.49,782.0
"2018-09-12","Mercoledi",7188.44,974.0
"2018-09-13","Giovedi",5437.75,762.0
"2018-09-14","Venerdi",6661.43,981.0
"2018-09-15","Sabato",7105.74,961.0
"2018-09-16","Domenica",5192.62,693.0
"2018-09-17","Lunedi",4644.04,683.0
"2018-09-18","Martedi",4720.46,718.0
"2018-09-19","Mercoledi",5398.0,770.0
"2018-09-20","Giovedi",6492.19,1092.0
"2018-09-21","Venerdi",5897.79,921.0
"2018-09-22","Sabato",6708.36,932.0
"2018-09-23","Domenica",4540.09,615.0
"2018-09-24","Lunedi",3703.1,648.0
"2018-09-25","Martedi",4084.09,747.0
"2018-09-26","Mercoledi",4272.54,747.0
"2018-09-27","Giovedi",4497.67,753.0
"2018-09-28","Venerdi",6385.41,1006.0
"2018-09-29","Sabato",5877.9,930.0
"2018-09-30","Domenica",4715.34,732.0
"2018-10-01","Lunedi",3464.0,557.0
"2018-10-02","Martedi",3989.86,621.0
"2018-10-03","Mercoledi",3666.39,621.0
"2018-10-04","Giovedi",4243.78,657.0
"2018-10-05","Venerdi",5994.44,873.0
"2018-10-06","Sabato",7225.68,944.0
"2018-10-07","Domenica",4199.4,581.0
"2018-10-08","Lunedi",4572.82,654.0
"2018-10-09","Martedi",3777.6,580.0
"2018-10-10","Mercoledi",4082.9,580.0
"2018-10-11","Giovedi",3761.98,543.0
"2018-10-12","Venerdi",6296.04,865.0
"2018-10-13","Sabato",6296.61,866.0
"2018-10-14","Domenica",4529.39,569.0
"2018-10-15","Lunedi",3516.4,535.0
"2018-10-16","Martedi",3872.83,598.0
"2018-10-17","Mercoledi",4032.31,571.0
"2018-10-18","Giovedi",4505.06,654.0
"2018-10-19","Venerdi",6194.72,899.0
"2018-10-20","Sabato",6222.76,858.0
"2018-10-21","Domenica",4108.06,542.0
"2018-10-22","Lunedi",3240.86,508.0
"2018-10-23","Martedi",3663.6,526.0
"2018-10-24","Mercoledi",5430.23,771.0
"2018-10-25","Giovedi",4228.92,645.0
"2018-10-26","Venerdi",6502.81,935.0
"2018-10-27","Sabato",5840.0,773.0
"2018-10-28","Domenica",5162.31,636.0
"2018-10-29","Lunedi",3403.63,497.0
"2018-10-30","Martedi",3997.65,596.0
"2018-10-31","Mercoledi",7010.02,867.0
"2018-11-01","Giovedi",5136.32,668.0
"2018-11-02","Venerdi",5114.1,731.0
"2018-11-03","Sabato",5540.8,769.0
"2018-11-04","Domenica",4823.57,646.0
"2018-11-05","Lunedi",3478.62,555.0
"2018-11-06","Martedi",3780.49,540.0
"2018-11-07","Mercoledi",4831.68,640.0
"2018-11-08","Giovedi",4008.77,574.0
"2018-11-09","Venerdi",6627.14,880.0
"2018-11-10","Sabato",5995.99,761.0
"2018-11-11","Domenica",4421.3,575.0
"2018-11-12","Lunedi",3772.09,571.0
"2018-11-13","Martedi",4472.7,610.0
"2018-11-14","Mercoledi",4892.31,687.0
"2018-11-15","Giovedi",4547.56,605.0
"2018-11-16","Venerdi",6186.38,812.0
"2018-11-22","Giovedi",5155.7,771.0
"2018-11-23","Venerdi",6570.24,1006.0
"2018-11-24","Sabato",6660.53,949.0
"2018-11-25","Domenica",5047.97,710.0
"2018-11-26","Lunedi",3383.53,515.0
"2018-11-27","Martedi",3384.97,535.0
"2018-11-28","Mercoledi",3698.44,543.0
"2018-11-29","Giovedi",4461.74,654.0
"2018-11-30","Venerdi",7093.92,974.0
"2018-12-01","Sabato",7595.52,1138.0
"2018-12-02","Domenica",4731.79,614.0
"2018-12-03","Lunedi",4495.85,663.0
"2018-12-04","Martedi",4435.28,688.0
"2018-12-05","Mercoledi",5226.47,725.0
"2018-12-06","Giovedi",4806.33,803.0
"2018-12-07","Venerdi",7099.96,1061.0
"2018-12-08","Sabato",5594.53,795.0
"2018-12-09","Domenica",4919.64,640.0
"2018-12-10","Lunedi",4503.67,731.0
"2018-12-11","Martedi",5112.14,687.0
"2018-12-12","Mercoledi",5517.41,891.0
"2018-12-13","Giovedi",4691.45,690.0
"2018-12-14","Venerdi",6842.31,959.0
"2018-12-15","Sabato",7745.06,954.0
"2018-12-16","Domenica",4638.41,591.0
"2018-12-17","Lunedi",4848.45,718.0
"2018-12-18","Martedi",6245.72,866.0
"2018-12-19","Mercoledi",4697.96,686.0
"2018-12-20","Giovedi",6424.07,968.0
"2018-12-21","Venerdi",8466.1,1090.0
"2018-12-22","Sabato",7409.99,952.0
"2018-12-23","Domenica",6209.39,729.0
"2018-12-24","Lunedi",1675.25,210.0
"2018-12-25","Martedi",2014.21,263.0
"2018-12-26","Mercoledi",4111.28,543.0
"2018-12-27","Giovedi",4108.06,559.0
"2018-12-28","Venerdi",5470.42,742.0
"2018-12-29","Sabato",5556.53,714.0
"2018-12-30","Domenica",4752.64,558.0
"2018-12-31","Lunedi",1274.51,177.0
"2019-01-01","Martedi",5453.05,614.0
"2019-01-02","Mercoledi",3980.16,561.0
"2019-01-03","Giovedi",4267.35,572.0
"2019-01-04","Venerdi",5556.95,777.0
"2019-01-05","Sabato",6012.48,760.0
"2019-01-06","Domenica",5059.6,604.0
"2019-01-07","Lunedi",3953.9,522.0
"2019-01-08","Martedi",4008.74,545.0
"2019-01-09","Mercoledi",4311.9,585.0
"2019-01-10","Giovedi",4563.71,663.0
"2019-01-11","Venerdi",7186.89,955.0
"2019-01-12","Sabato",7129.53,870.0
"2019-01-13","Domenica",5959.44,718.0
"2019-01-14","Lunedi",4010.75,553.0
"2019-01-15","Martedi",4550.97,619.0
"2019-01-16","Mercoledi",4259.34,661.0
"2019-01-17","Giovedi",4436.08,651.0
"2019-01-18","Venerdi",7338.18,996.0
"2019-01-19","Sabato",7239.84,919.0
"2019-01-20","Domenica",5659.8,673.0
"2019-01-21","Lunedi",3775.46,549.0
"2019-01-22","Martedi",4261.69,641.0
"2019-01-23","Mercoledi",3891.45,576.0
"2019-01-24","Giovedi",5698.69,798.0
"2019-01-25","Venerdi",6315.78,882.0
"2019-01-26","Sabato",7777.9,933.0
"2019-01-27","Domenica",4629.28,629.0
"2019-01-28","Lunedi",4600.96,665.0
"2019-01-29","Martedi",4744.71,673.0
"2019-01-30","Mercoledi",4026.89,545.0
"2019-01-31","Giovedi",4084.98,578.0
"2019-02-01","Venerdi",5500.85,699.0
"2019-02-02","Sabato",7096.47,914.0
"2019-02-03","Domenica",5618.13,705.0
"2019-02-04","Lunedi",4175.44,610.0
"2019-02-05","Martedi",4702.05,692.0
"2019-02-06","Mercoledi",4893.53,679.0
"2019-02-07","Giovedi",4516.07,612.0
"2019-02-08","Venerdi",7043.99,947.0
"2019-02-09","Sabato",6529.3,861.0
"2019-02-10","Domenica",4854.46,637.0
"2019-02-11","Lunedi",4223.06,633.0
"2019-02-12","Martedi",4582.0,640.0
"2019-02-13","Mercoledi",4982.89,710.0
"2019-02-14","Giovedi",5566.27,791.0
"2019-02-15","Venerdi",7556.05,997.0
"2019-02-16","Sabato",6516.39,896.0
"2019-02-17","Domenica",5650.9,730.0
"2019-02-18","Lunedi",4615.68,701.0
"2019-02-20","Mercoledi",4574.99,666.0
"2019-02-21","Giovedi",6136.21,808.0
"2019-02-22","Venerdi",7443.7,1016.0
"2019-02-23","Sabato",6427.71,837.0
"2019-02-24","Domenica",5934.68,768.0
"2019-02-25","Lunedi",4464.43,736.0
"2019-02-26","Martedi",4601.65,792.0
"2019-02-27","Mercoledi",4743.66,776.0
"2019-02-28","Giovedi",4952.25,834.0
"2019-03-01","Venerdi",7695.46,1105.0
"2019-03-02","Sabato",7232.68,1045.0
"2019-03-03","Domenica",5544.94,802.0
"2019-03-04","Lunedi",4243.81,614.0
"2019-03-05","Martedi",4108.75,647.0
"2019-03-06","Mercoledi",5153.92,753.0
"2019-03-07","Giovedi",4851.83,728.0
"2019-03-08","Venerdi",7484.09,974.0
"2019-03-09","Sabato",6484.46,832.0
"2019-03-10","Domenica",4901.39,687.0
"2019-03-11","Lunedi",4821.05,730.0
"2019-03-12","Martedi",5312.74,771.0
"2019-03-13","Mercoledi",4608.88,690.0
"2019-03-14","Giovedi",4772.49,699.0
"2019-03-15","Venerdi",8111.5,1139.0
"2019-03-16","Sabato",8313.28,1068.0
"2019-03-17","Domenica",5133.95,632.0
"2019-03-18","Lunedi",4223.95,662.0
"2019-03-19","Martedi",5307.46,804.0
"2019-03-20","Mercoledi",4875.53,745.0
"2019-03-21","Giovedi",5297.56,728.0
"2019-03-22","Venerdi",6596.07,908.0
"2019-03-23","Sabato",6561.81,913.0
"2019-03-24","Domenica",6388.09,769.0
"2019-03-25","Lunedi",4258.97,657.0
"2019-03-26","Martedi",4779.4,723.0
"2019-03-27","Mercoledi",4327.25,669.0
"2019-03-28","Giovedi",6244.53,829.0
"2019-03-29","Venerdi",7214.38,991.0
"2019-03-30","Sabato",6815.57,869.0
"2019-03-31","Domenica",5171.91,721.0
"2019-04-01","Lunedi",3839.06,629.0
"2019-04-02","Martedi",4962.65,738.0
"2019-04-03","Mercoledi",4609.96,681.0
"2019-04-04","Giovedi",5041.57,704.0
"2019-04-05","Venerdi",6950.14,959.0
"2019-04-06","Sabato",7575.36,990.0
"2019-04-07","Domenica",6295.41,743.0
"2019-04-08","Lunedi",3899.87,622.0
"2019-04-09","Martedi",4411.13,668.0
"2019-04-10","Mercoledi",4626.38,655.0
"2019-04-11","Giovedi",5143.32,714.0
"2019-04-12","Venerdi",7024.4,964.0
"2019-04-13","Sabato",8223.28,1018.0
"2019-04-14","Domenica",5738.89,682.0
"2019-04-15","Lunedi",4857.22,703.0
"2019-04-16","Martedi",4607.48,706.0
"2019-04-17","Mercoledi",6204.19,883.0
"2019-04-18","Giovedi",6393.96,979.0
"2019-04-19","Venerdi",5510.67,829.0
"2019-04-20","Sabato",5807.23,792.0
"2019-04-21","Domenica",2478.29,337.0
"2019-04-22","Lunedi",4278.34,584.0
"2019-04-23","Martedi",4321.72,641.0
"2019-04-24","Mercoledi",5266.11,720.0
"2019-04-25","Giovedi",5069.03,700.0
"2019-04-26","Venerdi",5474.36,805.0
"2019-04-27","Sabato",5837.0,898.0
"2019-04-28","Domenica",4331.75,642.0
"2019-04-29","Lunedi",4303.54,691.0
"2019-04-30","Martedi",5680.66,873.0
"2019-05-01","Mercoledi",4813.95,690.0
"2019-05-02","Giovedi",4466.11,681.0
"2019-05-03","Venerdi",6255.01,981.0
"2019-05-04","Sabato",6994.54,922.0
"2019-05-05","Domenica",5150.75,681.0
"2019-05-06","Lunedi",4382.57,719.0
"2019-05-07","Martedi",4396.3,682.0
"2019-05-08","Mercoledi",5193.9,729.0
"2019-05-09","Giovedi",5525.81,778.0
"2019-05-10","Venerdi",6802.84,919.0
"2019-05-11","Sabato",6048.78,797.0
"2019-05-12","Domenica",4724.6,612.0
"2019-05-13","Lunedi",4034.4,628.0
"2019-05-14","Martedi",4600.65,703.0
"2019-05-15","Mercoledi",5125.5,712.0
"2019-05-16","Giovedi",6139.64,1009.0
"2019-05-17","Venerdi",7310.33,1034.0
"2019-05-18","Sabato",6301.07,881.0
"2019-05-19","Domenica",4387.89,581.0
"2019-05-20","Lunedi",4491.27,670.0
"2019-05-21","Martedi",4832.52,749.0
"2019-05-22","Mercoledi",5115.05,737.0
"2019-05-23","Giovedi",5421.45,758.0
"2019-05-24","Venerdi",7878.08,1072.0
"2019-05-25","Sabato",6264.0,845.0
"2019-05-26","Domenica",5245.69,651.0
"2019-05-27","Lunedi",4395.17,721.0
"2019-05-28","Martedi",4868.27,771.0
