"row ID","Vendite R1","Vendite R2","Vendite R4","Vendite R5","Vendite R6"
"2018-10-23",2852.93,7220.01,3005.2,5589.16,3663.6
"2018-10-24",3546.94,7642.56,3486.45,5156.66,5430.23
"2018-10-25",3248.19,7280.46,3055.04,5757.41,4228.92
"2018-10-26",5543.23,10884.97,3514.29,7399.83,6502.81
"2018-10-27",10044.22,12955.02,3509.42,9355.44,5840.0
"2018-10-28",8827.94,9778.03,2966.44,8109.04,5162.31
"2018-10-29",2474.46,6222.72,2783.65,4704.98,3403.63
"2018-10-30",3519.6,6940.54,3217.95,5413.47,3997.65
"2018-10-31",8325.16,11661.93,4390.58,9113.04,7010.02
"2018-11-01",8597.04,11547.96,3162.62,7121.61,5136.32
"2018-11-02",7391.63,10878.37,3509.92,8444.39,5114.1
"2018-11-03",11154.13,12737.22,3418.92,9078.65,5540.8
"2018-11-04",8588.4,10458.15,3756.85,6885.34,4823.57
"2018-11-05",2919.74,6398.51,3310.43,4479.41,3478.62
"2018-11-06",3031.32,7243.64,2749.75,5016.66,3780.49
"2018-11-07",3550.98,7197.38,3144.55,4784.96,4831.68
"2018-11-08",3832.06,8407.87,3184.16,5016.67,4008.77
"2018-11-09",5362.56,10938.59,3894.77,8207.0,6627.14
"2018-11-10",10044.85,15111.1,4355.28,9748.23,5995.99
"2018-11-11",8163.7,11041.85,3327.84,7850.01,4421.3
"2018-11-12",3080.62,7136.66,3180.23,4618.05,3772.09
"2018-11-13",3043.98,8370.48,3049.25,4954.09,4472.7
"2018-11-14",3639.15,7753.39,3208.15,5428.99,4892.31
"2018-11-15",3651.08,7687.32,3364.4,5759.05,4547.56
"2018-11-16",6702.27,12099.34,4700.06,8636.85,6186.38
